group,method,metric,mean,median,min,max,std
ALL,Macke-MinTree+WS,precision050,0.559692,0.504765,0.207547,0.992248,0.277268
ALL,Macke-MinTree+WS,recall050,0.385749,0.284112,0.041985,1.000000,0.353135
ALL,Macke-MinTree+WS,f1050,0.435766,0.360197,0.069841,0.996109,0.342344
ALL,Macke-MinTree+WS,overseg_ratio,0.551902,0.543798,0.202290,1.007812,0.306772
ALL,Macke-MinTree+WS,total_fp,509,,,,
ALL,Macke-MinTree+WS,total_fn,1914,,,,
ALL,Otsu+WS,precision050,0.840115,0.790966,0.732353,0.976744,0.095073
ALL,Otsu+WS,recall050,0.961304,0.958055,0.940959,0.985915,0.014457
ALL,Otsu+WS,f1050,0.894668,0.864148,0.827243,0.979021,0.058853
ALL,Otsu+WS,overseg_ratio,1.155457,1.204181,1.000000,1.297710,0.108423
ALL,Otsu+WS,total_fp,607,,,,
ALL,Otsu+WS,total_fn,115,,,,
ALL,BA-TOS,precision050,0.980236,0.994253,0.913386,1.000000,0.028390
ALL,BA-TOS,recall050,0.967270,0.977141,0.899225,0.988971,0.026818
ALL,BA-TOS,f1050,0.973705,0.986559,0.906250,0.994455,0.027503
ALL,BA-TOS,overseg_ratio,0.986814,0.985073,0.976923,0.995370,0.004728
ALL,BA-TOS,total_fp,39,,,,
ALL,BA-TOS,total_fn,77,,,,
EFRGP01_00,Macke-MinTree+WS,precision050,0.556535,0.491752,0.246154,0.992188,0.291483
EFRGP01_00,Macke-MinTree+WS,recall050,0.382289,0.264069,0.060377,0.984496,0.370404
EFRGP01_00,Macke-MinTree+WS,f1050,0.432652,0.337494,0.096970,0.988327,0.359397
EFRGP01_00,Macke-MinTree+WS,overseg_ratio,0.550155,0.507121,0.238971,0.992248,0.316661
EFRGP01_00,Macke-MinTree+WS,total_fp,260,,,,
EFRGP01_00,Macke-MinTree+WS,total_fn,971,,,,
EFRGP01_00,Otsu+WS,precision050,0.835225,0.776989,0.770393,0.976744,0.095402
EFRGP01_00,Otsu+WS,recall050,0.959320,0.956417,0.940959,0.976852,0.015164
EFRGP01_00,Otsu+WS,f1050,0.891183,0.857388,0.847176,0.976744,0.059057
EFRGP01_00,Otsu+WS,overseg_ratio,1.158837,1.219066,1.000000,1.245283,0.108141
EFRGP01_00,Otsu+WS,total_fp,314,,,,
EFRGP01_00,Otsu+WS,total_fn,61,,,,
EFRGP01_00,BA-TOS,precision050,0.977627,0.992466,0.913386,1.000000,0.033763
EFRGP01_00,BA-TOS,recall050,0.965209,0.977651,0.899225,0.988971,0.033588
EFRGP01_00,BA-TOS,f1050,0.971374,0.985003,0.906250,0.994455,0.033612
EFRGP01_00,BA-TOS,overseg_ratio,0.987296,0.985073,0.984496,0.995370,0.004291
EFRGP01_00,BA-TOS,total_fp,22,,,,
EFRGP01_00,BA-TOS,total_fn,40,,,,
EFRGP01_01,Macke-MinTree+WS,precision050,0.562849,0.525464,0.207547,0.992248,0.290077
EFRGP01_01,Macke-MinTree+WS,recall050,0.389209,0.303592,0.041985,1.000000,0.370299
EFRGP01_01,Macke-MinTree+WS,f1050,0.438879,0.380849,0.069841,0.996109,0.358676
EFRGP01_01,Macke-MinTree+WS,overseg_ratio,0.553649,0.553120,0.202290,1.007812,0.326739
EFRGP01_01,Macke-MinTree+WS,total_fp,249,,,,
EFRGP01_01,Macke-MinTree+WS,total_fn,943,,,,
EFRGP01_01,Otsu+WS,precision050,0.845005,0.803481,0.732353,0.976562,0.103569
EFRGP01_01,Otsu+WS,recall050,0.963288,0.958055,0.950382,0.985915,0.014846
EFRGP01_01,Otsu+WS,f1050,0.898153,0.873986,0.827243,0.979021,0.064056
EFRGP01_01,Otsu+WS,overseg_ratio,1.152077,1.192380,1.000000,1.297710,0.118913
EFRGP01_01,Otsu+WS,total_fp,293,,,,
EFRGP01_01,Otsu+WS,total_fn,54,,,,
EFRGP01_01,BA-TOS,precision050,0.982846,0.994253,0.937008,1.000000,0.024838
EFRGP01_01,BA-TOS,recall050,0.969332,0.977141,0.929688,0.984848,0.021067
EFRGP01_01,BA-TOS,f1050,0.976036,0.986559,0.933333,0.992308,0.022832
EFRGP01_01,BA-TOS,overseg_ratio,0.986333,0.986771,0.976923,0.992188,0.005496
EFRGP01_01,BA-TOS,total_fp,17,,,,
EFRGP01_01,BA-TOS,total_fn,37,,,,
